,SN,Freq,Level,Time,Freq Offset,Level Offset
0,1,9 kHz,-110.0 dBm,500.0 ms,0.0 Hz,0.0 dB
911,912,1.91 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
656,657,1.655 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
908,909,1.907 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
446,447,1.445 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
252,253,1.251 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
725,726,1.724 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
810,811,1.809 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
153,154,1.152 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
834,835,1.833 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
161,162,1.16 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
9,10,1.008 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
457,458,1.456 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
545,546,1.544 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
602,603,1.601 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
451,452,1.45 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
594,595,1.593 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
301,302,1.3 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
277,278,1.276 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
300,301,1.299 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
587,588,1.586 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
47,48,1.046 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
649,650,1.648 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
149,150,1.148 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
120,121,1.119 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
271,272,1.27 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
627,628,1.626 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
378,379,1.377 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
98,99,1.097 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
913,914,1.912 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
73,74,1.072 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
141,142,1.14 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
906,907,1.905 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
755,756,1.754 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
379,380,1.378 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
385,386,1.384 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
355,356,1.354 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
129,130,1.128 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
259,260,1.258 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
143,144,1.142 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
759,760,1.758 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
145,146,1.144 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
691,692,1.69 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
397,398,1.396 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
321,322,1.32 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
613,614,1.612 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
377,378,1.376 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
514,515,1.513 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
852,853,1.851 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
903,904,1.902 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
25,26,1.024 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
494,495,1.493 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
890,891,1.889 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
341,342,1.34 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
512,513,1.511 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
610,611,1.609 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
336,337,1.335 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
426,427,1.425 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
310,311,1.309 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
991,992,1.99 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
960,961,1.959 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
112,113,1.111 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
596,597,1.595 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
770,771,1.769 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
294,295,1.293 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
53,54,1.052 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
628,629,1.627 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
74,75,1.073 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
288,289,1.287 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
284,285,1.283 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
851,852,1.85 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
101,102,1.1 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
460,461,1.459 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
539,540,1.538 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
645,646,1.644 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
782,783,1.781 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
603,604,1.602 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
248,249,1.247 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
356,357,1.355 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
768,769,1.767 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
211,212,1.21 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
622,623,1.621 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
381,382,1.38 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
505,506,1.504 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
380,381,1.379 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
392,393,1.391 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
108,109,1.107 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
715,716,1.714 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
709,710,1.708 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
567,568,1.566 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
738,739,1.737 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
654,655,1.653 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
993,994,1.992 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
508,509,1.507 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
443,444,1.442 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
396,397,1.395 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
345,346,1.344 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
809,810,1.808 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
191,192,1.19 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
361,362,1.36 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
982,983,1.981 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
216,217,1.215 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
165,166,1.164 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
741,742,1.74 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
880,881,1.879 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
225,226,1.224 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
517,518,1.516 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
605,606,1.604 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
733,734,1.732 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
499,500,1.498 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
269,270,1.268 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
312,313,1.311 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
975,976,1.974 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
963,964,1.962 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
349,350,1.348 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
987,988,1.986 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
126,127,1.125 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
94,95,1.093 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
615,616,1.614 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
845,846,1.844 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
262,263,1.261 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
235,236,1.234 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
637,638,1.636 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
389,390,1.388 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
40,41,1.039 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
193,194,1.192 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
106,107,1.105 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
562,563,1.561 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
526,527,1.525 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
708,709,1.707 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
968,969,1.967 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
830,831,1.829 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
697,698,1.696 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
746,747,1.745 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
537,538,1.536 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
316,317,1.315 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
779,780,1.778 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
484,485,1.483 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
84,85,1.083 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
685,686,1.684 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
125,126,1.124 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
253,254,1.252 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
382,383,1.381 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
187,188,1.186 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
334,335,1.333 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
744,745,1.743 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
275,276,1.274 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
207,208,1.206 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
574,575,1.573 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
251,252,1.25 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
740,741,1.739 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
452,453,1.451 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
8,9,1.007 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
712,713,1.711 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
981,982,1.98 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
20,21,1.019 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
61,62,1.06 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
950,951,1.949 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
256,257,1.255 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
182,183,1.181 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
174,175,1.173 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
892,893,1.891 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
244,245,1.243 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
285,286,1.284 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
250,251,1.249 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
430,431,1.429 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
626,627,1.625 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
344,345,1.343 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
731,732,1.73 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
699,700,1.698 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
865,866,1.864 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
42,43,1.041 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
758,759,1.757 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
886,887,1.885 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
914,915,1.913 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
806,807,1.805 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
208,209,1.207 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
109,110,1.108 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
822,823,1.821 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
515,516,1.514 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
168,169,1.167 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
915,916,1.914 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
695,696,1.694 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
481,482,1.48 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
87,88,1.086 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
35,36,1.034 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
75,76,1.074 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
959,960,1.958 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
154,155,1.153 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
492,493,1.491 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
717,718,1.716 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
679,680,1.678 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
604,605,1.603 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
924,925,1.923 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
799,800,1.798 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
363,364,1.362 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
935,936,1.934 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
282,283,1.281 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
82,83,1.081 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
931,932,1.93 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
172,173,1.171 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
455,456,1.454 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
721,722,1.72 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
416,417,1.415 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
961,962,1.96 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
757,758,1.756 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
